,Target,AGE,S1,Q3,Q4,Q5a,Q5b,Q5c,Q5d,Q5e,Q5g,Q5h,Q5i,Q5j,Q5l,Q20,Q21,Q22,Q25,Q27,Q28,Q29,Q30,Q32,Q33,Q34,Q35,Q36a,Q36b,Q36c,Q31,Q37a,Q38,Postcode_clean,Ward,OutputArea,Number of council services accessed,Information about public services,Publication Use,Usefulness of offline publication,Financial Worry
871,0.0,48.0,0.0,other,0.0,0.0,2.0,2.0,2.0,4.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,2.0,4.0,4.0,11.0,2.0,2.0,0.0,0.0,0.0,0.0,308.0,14.0,171.0,0.0,2.0,Offline,2107.6,Not Concerned
872,1.0,68.0,1.0,other,0.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,7.0,3.0,11.0,3.0,3.0,3.0,0.0,0.0,0.0,309.0,12.0,172.0,0.0,1.0,Offline,1122.2,Not Concerned
873,0.0,,1.0,other,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,4.0,4.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,309.0,12.0,172.0,1.0,1.0,Offline,1122.6,Not Concerned
874,0.0,25.0,0.0,other,11.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,309.0,12.0,172.0,0.0,0.6,Online and Offline,2611.4,Not Concerned
875,0.0,44.0,0.0,other,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,5.0,5.0,5.0,11.0,2.0,0.0,0.0,0.0,0.0,4.0,309.0,12.0,172.0,0.0,1.0,Offline,2612.0,Concerned
876,0.0,38.0,1.0,other,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,309.0,12.0,172.0,0.0,1.0,Offline,1123.8,Not Concerned
877,0.0,,0.0,other,13.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,0.0,0.0,9.0,309.0,12.0,172.0,0.0,1.0,Offline,2613.0,Not Concerned
878,0.0,21.0,1.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,309.0,12.0,172.0,0.0,1.0,Offline,1124.6,Not Concerned
879,0.0,34.0,0.0,other,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,11.0,0.0,0.0,0.0,0.0,1.0,5.0,309.0,12.0,172.0,0.0,1.0,Online and Offline,1514.6,Not Concerned
880,0.0,53.0,1.0,other,0.0,2.0,2.0,0.0,2.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,7.0,2.0,2.0,2.0,0.0,0.0,0.0,310.0,16.0,173.0,0.0,1.0,Offline,3004.2,Concerned
881,0.0,,0.0,other,12.0,2.0,2.0,5.0,0.0,5.0,2.0,0.0,2.0,2.0,2.0,1.0,3.0,0.0,1.0,2.0,3.0,0.0,0.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,310.0,16.0,173.0,2.0,0.6,Offline,2778.6,Concerned
882,0.0,,1.0,other,0.0,4.0,2.0,4.0,2.0,5.0,2.0,2.0,4.0,2.0,0.0,1.0,4.0,3.0,1.0,3.0,0.0,0.0,0.0,4.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,311.0,16.0,173.0,0.0,0.6,Offline,3005.6,Not Concerned
883,0.0,60.0,1.0,other,0.0,0.0,2.0,2.0,0.0,5.0,2.0,0.0,2.0,2.0,2.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.0,16.0,173.0,0.0,0.6,Offline,3009.2,Not Concerned
884,0.0,,1.0,other,10.0,0.0,2.0,0.0,0.0,5.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,,0.0,0.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,2.0,310.0,16.0,173.0,0.0,0.2,Offline,3010.0,Concerned
885,0.0,,0.0,other,18.0,0.0,0.0,4.0,2.0,5.0,2.0,2.0,5.0,2.0,0.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,310.0,16.0,173.0,0.0,2.4,Offline,3010.8,Not Concerned
886,0.0,,1.0,other,0.0,0.0,2.0,2.0,0.0,5.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,4.0,4.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,16.0,173.0,0.0,1.2,Offline,3011.6,Not Concerned
887,0.0,,0.0,other,18.0,0.0,0.0,5.0,2.0,5.0,2.0,0.0,2.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,310.0,16.0,173.0,0.0,0.4,Offline,3009.6,Concerned
888,0.0,30.0,0.0,other,0.0,1.0,1.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,19.0,174.0,0.0,0.0,Online and Offline,3013.2,Not Concerned
889,0.0,27.0,0.0,other,0.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,3.0,3.0,4.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,5.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,19.0,174.0,0.0,0.0,Online and Offline,3011.2,Not Concerned
890,0.0,26.0,0.0,other,2.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,312.0,19.0,174.0,0.0,,Online,3086.4,Not Concerned
891,0.0,51.0,1.0,other,13.0,4.0,4.0,4.0,2.0,1.0,4.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,313.0,19.0,174.0,0.0,3.0,Online and Offline,3014.4,Not Concerned
892,0.0,65.0,1.0,other,0.0,2.0,4.0,4.0,4.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,19.0,174.0,0.0,2.2,Online and Offline,2790.8,Not Concerned
893,0.0,20.0,0.0,other,5.0,3.0,3.0,5.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,0.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,4.0,4.0,4.0,11.0,2.0,1.0,1.0,2.0,1.0,6.0,312.0,19.0,174.0,0.0,1.0,Online,3088.8,Not Concerned
894,0.0,32.0,1.0,other,7.0,1.0,1.0,3.0,4.0,3.0,3.0,1.0,4.0,4.0,3.0,1.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,7.0,0.0,0.0,0.0,1.0,1.0,3.0,314.0,19.0,174.0,0.0,0.8,Online and Offline,3016.6,Not Concerned
895,0.0,28.0,0.0,other,6.0,4.0,4.0,2.0,4.0,3.0,1.0,1.0,4.0,1.0,1.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,4.0,4.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,315.0,19.0,175.0,0.0,3.0,Online,3090.6,Not Concerned
896,1.0,42.0,0.0,other,11.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,4.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,316.0,17.0,176.0,0.0,2.0,Online and Offline,2701.4,Not Concerned
897,0.0,43.0,0.0,other,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,316.0,17.0,176.0,0.0,0.8,Online and Offline,2699.4,Not Concerned
898,0.0,53.0,1.0,other,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,5.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,317.0,17.0,177.0,0.0,2.0,Online and Offline,2630.4,Concerned
899,1.0,69.0,0.0,other,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,3.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,318.0,17.0,177.0,0.0,0.0,Offline,2788.8,Not Concerned
900,0.0,30.0,1.0,other,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,5.0,4.0,5.0,5.0,0.0,2.0,0.0,0.0,1.0,8.0,318.0,17.0,177.0,0.0,0.0,Online and Offline,2628.6,Not Concerned
901,0.0,54.0,1.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0,2.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,318.0,17.0,177.0,0.0,2.0,Online and Offline,2795.4,Concerned
902,0.0,52.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,5.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,318.0,17.0,177.0,0.0,0.0,Online and Offline,2478.0,Concerned
903,0.0,20.0,0.0,other,10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,317.0,17.0,177.0,0.0,2.0,Online,3096.2,Concerned
904,0.0,40.0,0.0,other,2.0,0.0,0.0,5.0,0.0,5.0,2.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,4.0,5.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,319.0,16.0,178.0,1.0,2.0,Offline,3024.2,Concerned
905,1.0,,1.0,other,0.0,2.0,0.0,2.0,0.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,0.0,1.0,2.0,,0.0,0.0,4.0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,16.0,178.0,0.0,1.6,Offline,3022.2,Not Concerned
